high-level,low-level
abort_app,
end_app,approach_terminated
er_app,approach_error
rsm_app,
rst_app,
st_app,
sus_app,
abort_exp,
end_exp,explore_terminated
er_exp,explore_error
rsm_exp,
rst_exp,
st_exp,
sus_exp,
er_gs,gas_sensor_error
gas_found,gas_leak
off_gs,
on_gs,
rst_gs,
abort_rb,
end_rb,rb_terminated
er_rb,rb_error
rsm_rb,
rst_rb,
st_rb,
sus_rb,
end_tele,tele_terminated
er_tele,tele_error
rst_tele,
st_tele,
abort_vsv,
end_vsv,vsv_terminated
er_vsv,vsv_error
rsm_vsv,
rst_vsv,
st_vsv,
sus_vsv,
er_vs,victim_sensor_error
off_vs,
on_vs,
rst_vs,
victim_found,victim_recognized
move_to,
